,osid_scrambled,site,tid_scrambled,neighbor1_scrambled,shelf,path,lim,crsin,crsout,member_list,neighbor1_final,neighbor1_lim,neighbor2_final,pathindex,date
970,7b8-84008-8d,492,fa2-d4687-40,34f-126a2-af,2,49,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84;LIM-2-4,305-34f-126a2-af-4-52,LIM-4-2,-,1.0,2020/03/10
971,7b8-84008-8d,492,fa2-d4687-40,fa2-d4687-40,2,49,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84;LIM-2-4,492-fa2-d4687-40-1-52,LIM-1-2,-,1.0,2020/03/10
972,17c-ca452-b2,463,30e-80b09-35,12f-29a81-53,1,32,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3,430-12f-29a81-53-6-29,LIM-6-2,-,2.0,2020/03/10
973,17c-ca452-b2,463,30e-80b09-35,30e-80b09-35,1,32,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3,463-30e-80b09-35-2-29,LIM-2-2,-,2.0,2020/03/10
974,b36-eaf08-7f,463,30e-80b09-35,184-5d5a0-0d,2,29,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84,445-184-5d5a0-0d-2-32,LIM-2-2,-,1.0,2020/03/10
975,b36-eaf08-7f,463,30e-80b09-35,30e-80b09-35,2,29,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84,463-30e-80b09-35-1-32,LIM-1-2,-,1.0,2020/03/10
976,225-bb5ad-88,440,708-652a2-76,096-90223-92,1,109,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3,436-096-90223-92-1-112,LIM-1-2,-,1.0,2020/03/10
977,225-bb5ad-88,440,708-652a2-76,708-652a2-76,1,109,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3,440-708-652a2-76-2-112,LIM-2-2,-,1.0,2020/03/10
978,994-2304c-4a,440,708-652a2-76,660-93f7b-4e,2,112,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;LIM-2-4;LIM-2-5,434-660-93f7b-4e-1-109,LIM-1-2,-,2.0,2020/03/10
979,994-2304c-4a,440,708-652a2-76,708-652a2-76,2,112,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;LIM-2-4;LIM-2-5,440-708-652a2-76-1-109,LIM-1-2,-,2.0,2020/03/10
980,0b3-07dfe-79,338,82e-0a518-2b,e27-957d1-6f,2,68,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91,339-e27-957d1-6f-1-65,LIM-1-2,-,2.0,2020/03/10
981,0b3-07dfe-79,338,82e-0a518-2b,82e-0a518-2b,2,68,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91,338-82e-0a518-2b-1-65,LIM-1-2,-,2.0,2020/03/10
982,503-8fb5f-45,338,82e-0a518-2b,045-5380f-e1,1,65,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;CMD44-1-84,337-045-5380f-e1-2-68,LIM-2-2,-,1.0,2020/03/10
