,0,1
260,9c3-bf9d8-4b_3_2_6,b07-24b05-fb_5_2_8
261,3c3-46236-92_1_2_8,bdf-3473f-3b_1_2_6
262,ecc-d3fcd-01_3_2_8,ecc-d3fcd-01_3_5_5
263,0bd-ad564-95_2_2_6,fa2-d4687-40_1_4_8
264,13d-5fd39-0f_1_2_6,d1b-0beb5-0e_1_2_6
265,13d-5fd39-0f_1_2_6,830-af1a7-f5_2_5_5
266,13d-5fd39-0f_2_12_4,13d-5fd39-0f_2_2_8
267,13d-5fd39-0f_2_2_8,13d-5fd39-0f_2_5_5
268,570-58dd2-15_2_2_8,aff-40748-70_1_3_8
269,570-58dd2-15_2_2_8,aff-40748-70_1_2_6
270,723-92c7a-da_1_2_8,830-af1a7-f5_1_2_6
271,13d-5fd39-0f_1_2_6,830-af1a7-f5_2_12_4
272,13d-5fd39-0f_1_2_6,830-af1a7-f5_2_2_8
273,830-af1a7-f5_2_2_8,d1b-0beb5-0e_1_1_8
274,830-af1a7-f5_2_2_8,830-af1a7-f5_2_5_5
275,aff-40748-70_1_2_6,aff-40748-70_1_3_8
276,13d-5fd39-0f_2_2_8,d1b-0beb5-0e_1_1_8
277,d1b-0beb5-0e_1_1_8,d1b-0beb5-0e_1_2_6
278,fa2-d4687-40_1_2_8,fa2-d4687-40_1_4_8
279,d1b-0beb5-0e_1_2_6,fc5-45a44-5e_1_2_6
280,fe9-c5b5f-d6_1_2_8,fe9-c5b5f-d6_1_4_8
281,011-40a0f-05_3_2_8,f13-6a3fc-fd_2_2_6
282,3d4-2c42f-bd_2_2_8,b43-84800-63_3_2_6
283,b43-84800-63_2_2_6,e96-6fe8b-b4_1_2_8
284,12f-0ee73-9d_1_2_6,22a-71a0e-27_2_2_8
285,12f-29a81-53_4_2_6,f00-ad908-fb_2_2_8
286,22a-71a0e-27_2_2_8,8cd-8ccea-4b_1_2_6
287,2fe-e1ab1-fe_5_2_6,50d-895d1-ab_3_2_8
288,49c-0265d-8f_2_2_6,c18-3757b-57_1_2_8
289,1d3-ddf5d-3f_1_2_8,821-6d9a7-60_1_2_6
290,1d3-ddf5d-3f_2_2_6,821-6d9a7-60_1_2_6
291,821-6d9a7-60_2_2_8,afe-b9f62-22_3_2_6
292,821-6d9a7-60_1_2_6,821-6d9a7-60_2_2_8
293,957-450d2-14_2_2_8,957-450d2-14_2_5_5
294,821-6d9a7-60_2_2_8,de8-06733-db_3_2_6
295,821-6d9a7-60_1_2_6,e17-276ce-2d_1_2_8
296,085-61f62-64_2_2_8,25b-09573-de_2_2_6
297,4d2-45a18-96_3_2_8,b07-24b05-fb_2_2_6
298,25b-09573-de_1_2_6,774-fdc06-4f_4_2_6
299,c69-38394-a1_1_2_6,ffc-d8aec-b9_1_2_8
300,ffc-d8aec-b9_1_2_8,ffc-d8aec-b9_1_6_8
301,23f-7fa1d-9e_1_2_6,cb9-68576-a9_2_2_6
302,23f-7fa1d-9e_1_2_6,de8-06733-db_1_2_8
303,35b-c7441-ac_1_2_8,de0-0b395-6d_2_2_6
304,35b-c7441-ac_1_2_8,35b-c7441-ac_1_4_8
305,23f-7fa1d-9e_4_2_6,44d-6ee06-90_1_2_8
306,641-c78fd-3b_2_2_6,e46-30657-f9_3_2_8
307,a47-7aeea-bd_4_2_6,cf6-0c371-24_2_2_8
308,cb9-68576-a9_1_2_8,cb9-68576-a9_2_2_6
309,de0-0b395-6d_1_2_8,de0-0b395-6d_1_4_8
310,277-45405-4c_1_2_6,ab1-3cc1f-2b_2_2_8
311,8d2-bd9e7-63_2_2_8,a18-b5ed0-02_1_2_6
312,2e9-db6bf-96_1_2_8,f88-259e5-7e_1_2_6
313,096-90223-92_1_2_6,708-652a2-76_1_2_8
314,011-40a0f-05_2_2_8,f13-6a3fc-fd_2_2_8
315,011-40a0f-05_3_2_6,f13-6a3fc-fd_2_2_8
316,024-55d61-21_1_2_6,2e9-db6bf-96_2_2_8
317,024-55d61-21_1_2_8,2e9-db6bf-96_2_2_6
318,306-288da-d1_3_2_8,ecc-d3fcd-01_3_2_6
319,3b5-53a75-01_1_2_8,80b-307d3-7f_2_2_6
320,573-21794-b6_3_2_8,f88-259e5-7e_2_2_6
321,aad-91db9-84_2_2_6,d03-26c5e-6a_2_2_8
322,b07-24b05-fb_2_14_6,e8a-3aeb7-f9_1_2_8
323,f13-6a3fc-fd_2_2_8,f13-6a3fc-fd_2_5_5
324,4d2-45a18-96_5_2_8,a60-b1b97-ce_2_2_6
325,3b5-53a75-01_1_1_6,3b5-53a75-01_1_2_8
326,3b5-53a75-01_1_1_6,67f-50db3-75_1_2_8
327,67f-50db3-75_1_12_4,67f-50db3-75_1_2_8
328,67f-50db3-75_2_2_6,cca-70247-1e_5_2_8
329,6a3-0753e-4e_6_2_8,f00-ad908-fb_4_2_6
330,4d2-45a18-96_2_2_8,aad-91db9-84_1_2_6
331,305-fcde2-a8_2_2_6,4de-d5576-20_1_2_8
332,660-93f7b-4e_2_2_6,ff9-4a40e-8e_3_2_8
333,437-5805c-9f_1_2_8,6a3-0753e-4e_4_2_6
334,82e-0a518-2b_2_2_6,e27-957d1-6f_1_2_8
335,014-3c8ea-a2_1_2_6,014-3c8ea-a2_2_2_8
336,014-3c8ea-a2_2_2_6,1d3-ddf5d-3f_3_2_8
337,014-3c8ea-a2_2_2_8,1d3-ddf5d-3f_3_2_6
338,085-61f62-64_2_2_6,25b-09573-de_2_2_8
339,171-15b02-80_3_2_8,690-8732e-6c_2_2_6
340,184-5d5a0-0d_4_2_6,71a-12f85-c9_1_2_8
341,1cc-2a715-67_2_2_6,e5c-f2522-a0_1_2_8
342,2fe-e1ab1-fe_1_2_8,542-fb2a0-39_1_2_6
343,4d2-45a18-96_5_2_6,a60-b1b97-ce_2_2_8
344,014-3c8ea-a2_1_2_8,50d-895d1-ab_2_2_6
345,1d3-ddf5d-3f_3_2_6,50d-895d1-ab_3_2_6
346,593-f48b8-d8_5_2_6,735-db79c-a4_2_2_8
347,5f3-d6e0c-76_2_2_8,faa-42ccc-bc_3_2_6
348,6a3-0753e-4e_6_2_6,f00-ad908-fb_4_2_8
349,81d-202f0-80_1_2_6,912-f5cac-6b_2_2_8
350,cf6-0c371-24_1_2_8,ded-e9edd-b0_2_2_6
351,014-3c8ea-a2_1_2_8,e46-30657-f9_1_2_6
352,e5c-f2522-a0_1_2_8,e5c-f2522-a0_2_2_6
353,28e-cafe2-cd_2_2_8,576-dc97c-6a_1_2_6
354,316-88214-94_1_2_8,bdf-3473f-3b_2_2_6
355,844-96a93-26_1_2_6,b00-62bc0-59_1_2_8
356,deb-90231-cb_4_2_8,eee-85a7f-41_2_2_6
357,22a-71a0e-27_2_2_8,22a-71a0e-27_2_4_8
358,3b0-fccbe-98_2_2_8,9e9-70b86-4a_3_2_6
359,437-5805c-9f_2_2_8,b07-24b05-fb_4_2_6
360,437-5805c-9f_2_2_8,437-5805c-9f_2_4_8
361,5d6-d1e39-ac_1_2_8,d46-9b46c-67_2_2_6
362,5d6-d1e39-ac_1_2_8,5d6-d1e39-ac_1_5_5
363,957-450d2-14_2_2_6,ecc-d3fcd-01_1_2_8
364,471-865af-78_1_2_8,e96-6fe8b-b4_2_2_6
365,471-865af-78_1_2_8,fab-f92d4-35_1_2_8
366,50d-895d1-ab_1_2_6,f31-0c101-f7_3_2_8
367,e96-6fe8b-b4_2_2_6,faa-42ccc-bc_2_2_8
368,faa-42ccc-bc_2_2_8,fab-f92d4-35_1_3_6
369,fab-f92d4-35_1_2_8,fab-f92d4-35_1_3_6
370,316-88214-94_3_2_6,735-db79c-a4_3_2_8
371,5bc-770c6-9a_1_2_6,660-93f7b-4e_3_2_8
372,660-93f7b-4e_2_2_6,660-93f7b-4e_3_2_8
373,0d7-4d0fd-4a_1_2_8,d21-732ef-87_2_14_6
374,10c-1dc10-c8_1_2_6,faa-42ccc-bc_4_2_8
375,23f-7fa1d-9e_2_2_8,789-bb1be-81_3_2_6
376,2e0-3b8cf-a8_1_2_6,47f-8d5a5-cc_1_2_8
377,2fe-e1ab1-fe_2_2_6,f3d-d885d-62_1_2_8
378,306-288da-d1_2_2_8,306-288da-d1_2_5_8
379,47f-8d5a5-cc_1_1_6,47f-8d5a5-cc_1_2_8
380,53f-1234b-f2_1_2_6,c97-57723-4e_5_2_8
381,690-8732e-6c_1_2_6,c69-38394-a1_2_2_8
382,715-f5e1a-fb_2_2_6,ded-e9edd-b0_3_2_8
383,743-fde95-97_1_2_8,da8-be0b5-14_2_2_6
384,c97-57723-4e_1_2_6,cca-70247-1e_1_2_8
385,eae-f4996-b2_1_2_6,eae-f4996-b2_2_2_8
386,13d-5fd39-0f_2_2_6,d1b-0beb5-0e_1_2_8
387,d1b-0beb5-0e_1_1_6,d1b-0beb5-0e_1_2_8
388,fc5-45a44-5e_1_2_8,fc5-45a44-5e_1_5_5
389,171-15b02-80_2_2_6,b43-84800-63_5_2_8
390,184-5d5a0-0d_2_2_8,30e-80b09-35_2_2_6
391,821-6d9a7-60_2_2_6,afe-b9f62-22_3_2_8
392,045-5380f-e1_2_2_6,82e-0a518-2b_1_2_8
393,3b0-fccbe-98_2_2_6,9e9-70b86-4a_3_2_8
394,1fd-f9075-51_4_14_6,3d3-39ed6-b5_1_2_8
395,56a-e8fce-5c_1_2_6,573-21794-b6_1_2_8
396,56a-e8fce-5c_2_2_8,56a-e8fce-5c_2_4_8
397,573-21794-b6_3_2_8,573-21794-b6_3_4_8
398,590-e8744-a1_1_2_6,590-e8744-a1_2_2_8
399,56a-e8fce-5c_2_4_8,76c-8d1b0-b2_1_2_6
400,796-7c246-6f_4_2_8,e17-276ce-2d_2_2_6
401,955-ccaa3-2b_2_2_8,a60-b1b97-ce_1_2_6
402,957-450d2-14_1_2_8,cb3-15811-c3_1_2_6
403,277-45405-4c_3_2_8,5b1-43254-d7_1_2_6
404,277-45405-4c_3_2_8,5b1-43254-d7_1_3_8
